Epoch,Generator_Loss,Discriminator_Loss
1,1895.6974,170.0693
2,1634.1662,165.3313
3,1293.9444,197.6553
4,1209.7156,196.195
5,1128.2438,225.3226
6,942.3895,268.9147
7,983.1807,272.3245
8,964.9558,264.5353
9,957.4635,292.3955
10,925.4286,282.4503
11,900.1548,285.6216
12,867.1132,279.2409
13,872.5366,279.0882
14,843.8779,280.8736
15,846.3192,301.3925
16,809.4816,294.9542
17,816.2577,307.1442
18,786.7785,297.1436
19,789.6321,300.9334
20,790.5021,328.0705
21,787.1918,304.3067
22,795.1452,309.6376
23,789.3044,289.5073
24,773.2913,319.4567
25,798.0383,317.6943
26,784.7595,306.171
27,800.2523,284.2798
28,809.4693,319.6148
29,802.5168,295.291
30,814.7541,279.53
